rowid,sku,producto,proveedor,marca,precio_sin_iva,pmp_sin_iva,ganancia_moneda_nacional,margen_porcentaje,stock_total
84913,IPGRTCM1E826PBST,"BATERIA GRETSCH S/STANDS CAT. MPL 6+1 PZ",GONHER,GRETSCH,0.00000000,30105.64655000,-30105.64655000,0.000000000000,1
84909,IPGRTCM1E825SVS,"BATERIA GRETSCH S/STANDS CAT. MPL 5 PZ",GONHER,GRETSCH,18645.11207000,23539.23276000,-4894.12069000,-26.248813477902,1
30887,IABEHP16M,"MEZCLADORA BEHRINGER MOD. P16-M",INOVAUDIO,BEHRINGER,2613.24138000,5029.13793000,-2415.89655000,-92.448273951639,1
87019,IAMIDM32LIVE,"MEZCLADORA MIDAS MOD. M32 LIVE",AUDYSON,MIDAS,55205.15517000,57576.84000000,-2371.68483000,-4.296129270349,1
21299,VAPREEBN2408,"MEDUSA PROEL 32 CANALES   MOD. EBN-2408",GONHER,PROEL,9470.68965517,11706.49138000,-2235.80172483,-23.607591487379,1
84037,IPMEICC12TRSB,"PLATILLO MEINL 12 MOD. CC12TRS-B",GONHER,MEINL,0.00000000,1705.39655000,-1705.39655000,0.000000000000,1
87940,IPNUXDM8,"BATERIA NUX DIGITAL MOD. DM-8",GONHER,NUX,19730.93103000,20833.94927125,-1103.01824125,-5.590300019664,8
30812,IABEHPMP1680S,"CONSOLA MEZCLADORA BEHRINGER PMP1680S",INOVAUDIO,BEHRINGER,7169.35345000,7939.75000000,-770.39655000,-10.745690742866,1
60685,BYTR2330S,"TROMPETA YAMAHA Bb ESTANDAR, ML, PLATEADA",YAMAHA,YAMAHA,10699.60345000,11420.16000000,-720.55655000,-6.734422947235,5
77394,1100466,"ACORDEON DIATONICO HOHNER COMPADRE FA-SIb-MIb BLANCO CON FUNDA",VEERKAMP,HOHNER,14224.20690000,14721.50000000,-497.29310000,-3.496104236223,1
87910,CVC6W,"ALTAVOZ (PZA) DE PLAFON (CON GABINETE TRASERO)",YAMAHA,YAMAHA,2500.00000000,2947.85000000,-447.85000000,-17.914000000000,3
87578,2714014505,"GUITARRA GRETSCH G5021WPE PENG ACST/ELEC WHT",FENDER,GRETSCH,6705.50000000,7152.31000000,-446.81000000,-6.663336067407,1
83524,RAEVAB10UV2,"PARCHE EVANS 10 MOD. B10UV2",GONHER,EVANS,0.00000000,398.66000000,-398.66000000,0.000000000000,2
30871,IABEH502,"MEZCLADORA BEHRINGER MOD. 502*",INOVAUDIO,BEHRINGER,566.88793000,895.95000000,-329.06207000,-58.047111710422,1
79302,IATCEVOICETD1,"PROCESADOR T.C. EL. VOICE TONE D1",INOVAUDIO,"TC ELECTRONIC",1981.78448000,2281.07759000,-299.29311000,-15.102202738009,1
