Proveedor,id_tipo_proveedor,tipo_proveedor_frances,tipo_proveedor,Total_General
"ABASTECEDORA DE OFICINAS, S.A DE C.V (ADOSA)",NULL,NULL,Servicio,18136.71
ABASTECIMIENTOS ELECTRONICOS DEL NORTE S.A DE C.V.,NULL,NULL,Servicio,54.01
ABX BUSINESS TRAINING AND CONSULTING,NULL,NULL,Servicio,21808
ACOUSTIC CONTROL DE MEXICO (AMERICAN CABLE),6,Grossiste,Mayorista,4433541.82
ADRIAN LOZADA GARCIA,NULL,NULL,Servicio,5452
AGORA PUBLICITY S.A. DE C.V.,NULL,NULL,Servicio,4628.4
AGUA Y DRENAJE DE MONTERREY,NULL,NULL,Servicio,3613
ALFONSO ROSAS CERVANTES,8,Particulier,Particular,3190
ALFREDO MARCOS GIACOMAN,NULL,NULL,Servicio,2123.7
AMOR MUSICAL,NULL,NULL,Servicio,160889.95
APODACA RECORDS,NULL,NULL,Servicio,13868.8
ARIEL ROMERO SANABRIA,6,Grossiste,Mayorista,9061
ARLETTE ARACELY MARTINEZ RODRIGUEZ,8,Particulier,Particular,2220.26
"ARTESANIAS VICTORICO OCAMPO (PANDEROS, BONGOS)",NULL,NULL,Servicio,392892.6
ARTICULOS MILITARES CALDERON,6,Grossiste,Mayorista,591687
"Asesoria Integral A La Medida A Empresas, S.C.",NULL,NULL,Servicio,1701478.68
ASOCIACION PROFESIONAL DE TRABAJADORES,NULL,NULL,Servicio,42000
ATARAXIA TECNOLOGIAS SA CV,NULL,NULL,Servicio,8381.4
AUDIO ILUMINACION PROFESIONAL S.A. DE C.V.,6,Grossiste,Mayorista,646562.5
AUDIOTRONICA,6,Grossiste,Mayorista,37468
AUDYSON,6,Grossiste,Mayorista,19627664
AURIBOX CONSULTING SA DE CV,NULL,NULL,Servicio,7768.52
AUTO EXPRESS VILLARREAL S.A DE C.V (EVISA),NULL,NULL,Servicio,1212.5
AUTO LINEAS VILLARREAL S.A DE C.V,NULL,NULL,Servicio,1601.76
AUTO SHOW LA SILLA SA DE CV ( KIA ),NULL,NULL,Servicio,82736.26
AUTOLINEAS SAN LUIS GUADALAJARA    ( auto SAG ),NULL,NULL,Servicio,317184
AUTOPOLIS CUMBRES S.A. DE C.V.,NULL,NULL,Servicio,47223.73
Autotransportes Avanze S.a De C.v.,NULL,NULL,Servicio,22434.24
AUTOTRANSPORTES DE CARGA TRESGUERRAS,NULL,NULL,Servicio,12831.1
"AUTOTRANSPORTES VILLARREAL, S.A. DE C.V. (TRAVISA)",NULL,NULL,Servicio,11698349.93
AYRISA,NULL,NULL,Servicio,13000
BANCOMER (PYME) 9811082879,NULL,NULL,Servicio,1405946.21
BANCOMER (PYME) CRED-90715,NULL,NULL,Servicio,5400000
BANCOMER (PYME-CREDITO ) 9819861931,NULL,NULL,Servicio,1382000
BODEGAS TIENDA LM S.A. DE C.V.,NULL,NULL,Servicio,11683
BOLSY ROL SA DE CV,NULL,NULL,Servicio,2159.92
Brains On Demand S.C.,NULL,NULL,Servicio,29000
BRAVO MUSIC,6,Grossiste,Mayorista,1596335.75
BRENDA LILIANA PANTOJA PONCE,NULL,NULL,Servicio,7659.6
CAD TONER,NULL,NULL,Servicio,2088
CALIFIKA OPCIONES DE EMPLEO EN MEXICO SC,NULL,NULL,Servicio,2784
CARVEL,NULL,NULL,Servicio,20500
CASA VEERKAMP,6,Grossiste,Mayorista,107617783
CAVANOVA DE MEXICO SA DE CV,NULL,NULL,Servicio,51666.4
CENTRAL DE ALARMAS ADLER,NULL,NULL,Servicio,449243.7
CENTRAL DE DISCOS DE TORREON S.A. DE C.V.,NULL,NULL,Servicio,847830.97
CERRO GRANDE GUITARRAS,6,Grossiste,Mayorista,11909021.56
